Item1,Item2
80.38336,637933880394079744
80.476704,637933880395019264
80.968768,637933880399940352
81.124928,637933880401499776
81.5296,637933880405557888
81.633376,637933880406580864
81.949536,637933880409750144
82.081184,637933880411060480
82.38704,637933880414120576
82.515872,637933880415411072
82.805728,637933880418311296
82.938496,637933880419641472
83.141376,637933880421663872
83.295232,637933880423201664
83.531456,637933880425572480
83.661536,637933880426871808
83.92208,637933880429472128
84.04224,637933880430672512
84.266784,637933880432923264
84.399392,637933880434242560
84.625216,637933880436503424
84.75456,637933880437802752
85.000928,637933880440264192
85.136832,637933880441623296
85.366816,637933880443924736
85.47504,637933880445003776
85.758592,637933880447843968
85.87744,637933880449025408
86.073024,637933880450984832
86.234912,637933880452604928
86.514368,637933880455394560
86.6272,637933880456525824
86.9072,637933880459325696
87.047904,637933880460736256
87.296704,637933880463225728
87.431264,637933880464566400
87.698176,637933880467235840
87.823584,637933880468496256
88.103776,637933880471297536
88.214624,637933880472407296
88.50096,637933880475267712
88.633472,637933880476596992
88.971872,637933880479977600
89.08368,637933880481099136
89.377632,637933880484037376
89.514432,637933880485407744
89.683584,637933880487098240
89.829216,637933880488548608
90.057536,637933880490839040
90.210432,637933880492368000
90.456736,637933880494829696
90.602336,637933880496279040
90.80112,637933880498269312
90.9592,637933880499849856
91.210688,637933880502369408
91.373632,637933880504000384
91.616512,637933880506430208
91.74496,637933880507710592
92.00464,637933880510310528
92.126304,637933880511520640
92.386176,637933880514121728
92.52224,637933880515481088
92.744256,637933880517702016
92.88816,637933880519142016
93.056096,637933880520822016
93.182368,637933880522082816
93.293344,637933880523191936
93.394944,637933880524211968
93.497024,637933880525231488
93.571264,637933880525972736
93.79408,637933880528202112
93.928864,637933880529552384
94.129088,637933880531553280
94.238656,637933880532653440
94.448768,637933880534753152
94.55584,637933880535825152
94.823136,637933880538494336
94.948544,637933880539753344
95.284576,637933880543113344
95.418048,637933880544444544
95.811552,637933880548385280
95.955296,637933880549814528
96.183072,637933880552094464
96.322464,637933880553495552
96.632384,637933880556586112
96.770304,637933880557965440
96.967072,637933880559936384
97.1024,637933880561287040
97.256192,637933880562826624
97.387168,637933880564136704
97.590656,637933880566176512
97.721856,637933880567486208
97.971328,637933880569976960
98.091552,637933880571187072
98.218656,637933880572456448
98.342464,637933880573697024
98.43616,637933880574627712
98.556768,637933880575837696
98.767104,637933880577938048
98.894432,637933880579218432
99.20464,637933880582318976
99.30832,637933880583347712
99.528192,637933880585549056
99.635008,637933880586618624
99.755936,637933880587827840
99.870272,637933880588968064
99.946752,637933880589738112
100.065472,637933880590919808
100.357376,637933880593840000
100.471456,637933880594979712
100.76336,637933880597900928
100.862656,637933880598900352
101.003264,637933880600299392
101.127872,637933880601548928
101.16688,637933880601945472
101.310592,637933880603380608
101.519616,637933880605473792
101.631616,637933880606583552
101.94736,637933880609740416
102.248928,637933880612761600
102.364448,637933880613912064
102.476448,637933880615040512
102.568352,637933880615951616
102.664288,637933880616911488
102.78672,637933880618142208
102.886976,637933880619142912
103.269248,637933880622963712
103.38064,637933880624082432
103.754624,637933880627822720
103.868448,637933880628962944
104.082048,637933880631093632
104.18784,637933880632152960
104.267424,637933880632952960
104.371904,637933880633993728
104.561472,637933880635893120
104.699616,637933880637272832
104.906496,637933880639342848
105.02112,637933880640484736
105.109728,637933880641374464
105.214528,637933880642423040
105.306336,637933880643335424
105.38032,637933880644073600
105.559712,637933880645874688
105.674432,637933880647023360
105.834208,637933880648614528
105.944224,637933880649715200
106.033408,637933880650606336
106.132032,637933880651596288
106.224352,637933880652515200
106.31744,637933880653455360
106.42064,637933880654488448
106.509632,637933880655374848
106.626496,637933880656545152
106.724768,637933880657526144
106.910176,637933880659376640
107.04576,637933880660736512
107.355392,637933880663835648
107.474528,637933880665026304
107.56496,637933880665926400
107.7032,637933880667306880
108.25936,637933880672867328
108.418144,637933880674457600
108.696288,637933880677238016
108.825184,637933880678527616
108.977472,637933880680057088
109.095008,637933880681228928
109.22496,637933880682528256
109.331936,637933880683598592
109.559232,637933880685868416
109.667008,637933880686949632
109.876992,637933880689048832
110.003424,637933880690319232
110.184096,637933880692119296
110.3128,637933880693410560
110.47024,637933880694980224
110.59584,637933880696239872
110.819616,637933880698480512
110.963264,637933880699909120
111.197472,637933880702260480
111.339776,637933880703680000
111.479648,637933880705080704
111.610464,637933880706390016
